"SKU","Name","On Hand","Available","Customs Description","Tariff Code","Customs Value","Price","Warehouse Product Price","Barcode","Warehouse"
"57134084325758","Men's Bracelet Bundle Gold / Gold","0","0","Men's Bracelet Bundle Gold / Gold","0","0.0000","46.0000","46.0000","776182113","Vareya BV / Primary"
"57134084292990","Men's Bracelet Bundle Gold / Silver","0","0","Men's Bracelet Bundle Gold / Silver","0","0.0000","46.0000","46.0000","776182247","Vareya BV / Primary"
"57134084260222","Men's Bracelet Bundle Silver / Black","0","0","Men's Bracelet Bundle Silver / Black","0","0.0000","46.0000","46.0000","776153902","Vareya BV / Primary"
"57134084227454","Men's Bracelet Bundle Silver / Gold","0","0","Men's Bracelet Bundle Silver / Gold","0","0.0000","46.0000","46.0000","776184504","Vareya BV / Primary"
"57134084194686","Men's Bracelet Bundle Silver / Silver","0","0","Men's Bracelet Bundle Silver / Silver","0","0.0000","46.0000","46.0000","776153961","Vareya BV / Primary"
"57134054736254","Women's Ring Bundle Silver / Silver","0","0","Women's Ring Bundle Silver / Silver","0","0.0000","37.0000","31.4500","776184088","Vareya BV / Primary"
"57134054703486","Women's Ring Bundle Silver / Gold","0","0","Women's Ring Bundle Silver / Gold","0","0.0000","37.0000","31.4500","776153587","Vareya BV / Primary"
"57134054670718","Women's Ring Bundle Gold / Silver","0","0","Women's Ring Bundle Gold / Silver","0","0.0000","37.0000","31.4500","776153502","Vareya BV / Primary"
"57134054637950","Women's Ring Bundle Gold / Gold","0","0","Women's Ring Bundle Gold / Gold","0","0.0000","37.0000","31.4500","776181712","Vareya BV / Primary"
"57134028783998","Women's Cuff Bundle Silver / Silver","0","0","Women's Cuff Bundle Silver / Silver","0","0.0000","51.0000","43.3500","776183406","Vareya BV / Primary"
"57134028751230","Women's Cuff Bundle Silver / Gold","0","0","Women's Cuff Bundle Silver / Gold","0","0.0000","51.0000","43.3500","776183404","Vareya BV / Primary"
"57134028718462","Women's Cuff Bundle Gold / Silver","0","0","Women's Cuff Bundle Gold / Silver","0","0.0000","51.0000","43.3500","776152720","Vareya BV / Primary"
"57134028685694","Women's Cuff Bundle Gold / Gold","0","0","Women's Cuff Bundle Gold / Gold","0","0.0000","51.0000","43.3500","776150756","Vareya BV / Primary"
"57129473507710","Women's Necklace Bundle Silver / Silver","0","0","Women's Necklace Bundle Silver / Silver","0","0.0000","58.0000","49.3000","776091220","Vareya BV / Primary"
